n,bits,queries,negative,positive,false_positive,true_negative
5,3.2,1000,1000,0,197,803
5,4.8,1000,1000,0,64,936
5,8,1000,1000,0,11,989
5,12.8,1000,1000,0,2,998
5,16,1000,1000,0,0,1000
5,24,1000,1000,0,0,1000
5,32,1000,1000,0,0,1000
5,40,1000,1000,0,0,1000
5,48,1000,1000,0,0,1000
10,2.4,1000,1000,0,309,691
10,4,1000,1000,0,132,868
10,8,1000,1000,0,43,957
10,12,1000,1000,0,0,1000
10,16,1000,1000,0,0,1000
10,24,1000,1000,0,0,1000
10,32,1000,1000,0,0,1000
10,40,1000,1000,0,0,1000
10,48,1000,1000,0,0,1000
15,2.13333,1000,1000,0,346,654
15,4.26667,1000,1000,0,84,916
15,8,1000,1000,0,27,973
15,12.2667,1000,1000,0,3,997
15,16,1000,1000,0,5,995
15,24,1000,1000,0,0,1000
15,32,1000,1000,0,0,1000
15,40,1000,1000,0,0,1000
15,48,1000,1000,0,0,1000
20,2,1000,1000,0,472,528
20,4,1000,1000,0,181,819
20,8,1000,1000,0,31,969
20,12,1000,1000,0,4,996
20,16,1000,1000,0,0,1000
20,24,1000,1000,0,0,1000
20,32,1000,1000,0,0,1000
20,40,1000,1000,0,0,1000
20,48,1000,1000,0,0,1000
25,2.24,1000,1000,0,360,640
25,4.16,1000,1000,0,123,877
25,8,1000,1000,0,33,967
25,12.16,1000,1000,0,1,999
25,16,1000,1000,0,0,1000
25,24,1000,1000,0,0,1000
25,32,1000,1000,0,0,1000
25,40,1000,1000,0,0,1000
25,48,1000,1000,0,0,1000
30,2.13333,1000,1000,0,332,668
30,4,1000,1000,0,150,850
30,8,1000,1000,0,26,974
30,12,1000,1000,0,3,997
30,16,1000,1000,0,0,1000
30,24,1000,1000,0,0,1000
30,32,1000,1000,0,0,1000
30,40,1000,1000,0,0,1000
30,48,1000,1000,0,0,1000
40,2,1000,1000,0,501,499
40,4,1000,1000,0,133,867
40,8,1000,1000,0,15,985
40,12,1000,1000,0,4,996
40,16,1000,1000,0,0,1000
40,24,1000,1000,0,0,1000
40,32,1000,1000,0,0,1000
40,40,1000,1000,0,0,1000
40,48,1000,1000,0,0,1000
50,2.08,1000,1000,0,355,645
50,4,1000,1000,0,111,889
50,8,1000,1000,0,33,967
50,12,1000,1000,0,3,997
50,16,1000,1000,0,1,999
50,24,1000,1000,0,0,1000
50,32,1000,1000,0,0,1000
50,40,1000,1000,0,0,1000
50,48,1000,1000,0,0,1000
60,2,1000,1000,0,408,592
60,4,1000,1000,0,170,830
60,8,1000,1000,0,27,973
60,12,1000,1000,0,2,998
60,16,1000,1000,0,0,1000
60,24,1000,1000,0,0,1000
60,32,1000,1000,0,0,1000
60,40,1000,1000,0,0,1000
60,48,1000,1000,0,0,1000
70,2.05714,1000,1000,0,414,586
70,4,1000,1000,0,160,840
70,8,1000,1000,0,22,978
70,12,1000,1000,0,2,998
70,16,1000,1000,0,2,998
70,24,1000,1000,0,0,1000
70,32,1000,1000,0,0,1000
70,40,1000,1000,0,0,1000
70,48,1000,1000,0,0,1000
80,2,1000,1000,0,411,589
80,4,1000,1000,0,126,874
80,8,1000,1000,0,12,988
80,12,1000,1000,0,3,997
80,16,1000,1000,0,0,1000
80,24,1000,1000,0,0,1000
80,32,1000,1000,0,0,1000
80,40,1000,1000,0,0,1000
80,48,1000,1000,0,0,1000
100,2,1000,1000,0,456,544
100,4,1000,1000,0,119,881
100,8,1000,1000,0,15,985
100,12,1000,1000,0,6,994
100,16,1000,1000,0,0,1000
100,24,1000,1000,0,0,1000
100,32,1000,1000,0,0,1000
100,40,1000,1000,0,0,1000
100,48,1000,1000,0,0,1000
125,2.048,1000,1000,0,370,630
125,4.032,1000,1000,0,146,854
125,8,1000,1000,0,22,978
125,12.032,1000,1000,0,5,995
125,16,1000,1000,0,0,1000
125,24,1000,1000,0,0,1000
125,32,1000,1000,0,0,1000
125,40,1000,1000,0,0,1000
125,48,1000,1000,0,0,1000
150,2.02667,1000,1000,0,389,611
150,4,1000,1000,0,143,857
150,8,1000,1000,0,18,982
150,12,1000,1000,0,3,997
150,16,1000,1000,0,0,1000
150,24,1000,1000,0,0,1000
150,32,1000,1000,0,0,1000
150,40,1000,1000,0,0,1000
150,48,1000,1000,0,0,1000
175,2.01143,1000,1000,0,427,573
175,4.02286,1000,1000,0,149,851
175,8,1000,1000,0,26,974
175,12.0229,1000,1000,0,3,997
175,16,1000,1000,0,0,1000
175,24,1000,1000,0,0,1000
175,32,1000,1000,0,0,1000
175,40,1000,1000,0,0,1000
175,48,1000,1000,0,0,1000
200,2,1000,1000,0,404,596
200,4,1000,1000,0,137,863
200,8,1000,1000,0,28,972
200,12,1000,1000,0,1,999
200,16,1000,1000,0,0,1000
200,24,1000,1000,0,0,1000
200,32,1000,1000,0,0,1000
200,40,1000,1000,0,0,1000
200,48,1000,1000,0,0,1000
