bits,expected(Bloom)
1.33301,0.527056
1.34375,0.524343
1.35938,0.520422
1.39941,0.510506
1.46582,0.494475
1.59961,0.463691
1.91992,0.397551
2,0.382546
2.14844,0.356214
2.29297,0.332318
2.2998,0.331228
2.39941,0.31575
2.51367,0.298884
3.19922,0.215009
3.43945,0.191571
3.45508,0.190138
3.5,0.186079
3.56543,0.18032
3.59961,0.177383
3.67969,0.170688
3.73242,0.166418
3.7998,0.161116
3.83984,0.158047
4,0.146342
4.45703,0.117491
4.7998,0.0996511
7.87109,0.0227841
7.89941,0.0224762
7.9082,0.0223815
7.91992,0.0222559
7.94629,0.0219757
8,0.0214158
12,0.00313403
12.0225,0.00310039
12.0312,0.00308732
12.1592,0.00290328
12.2666,0.00275724
12.7998,0.00213411
16,0.000458639
24,9.82213e-06
32,2.10349e-07
40,4.50481e-09
48,9.64743e-11
